attendancePercentage,internalMarks,assignmentScore,cgpa,backlogCount,previousSemesterPerformance,feeStatus,familyIncomeCategory,internetAccess,extracurricularParticipation,previousCounsellingCount,dropoutRisk
62.0,55.8,46.3,5.49,2,39.6,0,1,1,1,0,1
66.7,50.5,39.6,7.25,2,63.1,2,1,1,1,1,1
94.0,58.1,78.5,6.12,1,46.1,1,1,1,0,0,1
81.2,63.6,73.2,7.53,1,64.7,0,0,1,0,0,1
43.3,38.3,44.8,5.02,0,37.7,0,1,1,2,0,1
80.8,66.5,70.1,7.66,1,60.8,0,1,1,1,0,0
68.1,78.7,63.1,8.37,2,77.9,0,1,1,0,2,1
62.8,41.5,69.2,4.41,2,42.0,0,1,1,0,0,1
86.0,58.6,73.3,7.72,0,66.7,0,1,1,1,0,0
93.6,81.7,74.7,8.92,0,82.5,0,2,1,1,0,0
91.8,41.7,76.4,5.51,0,52.4,0,0,1,1,1,1
59.9,82.8,62.7,9.54,0,91.5,0,1,1,0,1,0
69.4,63.8,77.7,7.79,0,64.1,0,1,1,2,0,0
81.0,51.1,65.4,6.21,4,51.7,0,1,1,1,1,1
92.6,66.7,80.8,7.12,0,52.9,2,1,1,1,1,0
66.4,59.5,64.8,7.98,1,65.9,1,0,1,1,0,1
71.7,77.7,55.2,7.31,1,70.2,0,1,1,0,0,1
55.1,53.0,53.8,7.95,1,77.7,0,0,1,2,0,1
53.5,45.5,37.8,5.91,2,59.0,1,2,1,0,0,1
89.6,66.2,60.0,7.44,2,51.9,2,1,1,0,1,1
99.4,49.1,88.3,5.22,1,54.3,1,2,1,1,0,1
73.7,59.1,62.8,7.04,2,48.5,0,1,1,1,1,1
93.1,50.0,82.2,5.93,1,58.8,2,1,1,1,1,1
81.5,55.7,71.9,6.17,1,51.8,0,1,1,1,0,1
63.4,74.1,49.6,8.93,5,81.4,0,2,1,0,2,1
81.5,85.3,71.6,8.73,1,65.5,2,2,1,2,1,0
100.0,75.2,72.7,8.05,1,77.6,0,0,1,0,0,0
74.4,55.2,81.0,5.67,1,40.1,2,1,1,2,0,1
100.0,49.7,71.4,6.76,0,54.4,0,1,1,0,0,0
27.8,75.0,32.5,8.9,0,69.2,2,0,1,1,1,1
89.8,60.5,67.4,7.4,0,51.9,0,1,1,0,2,0
76.6,77.0,74.3,10.0,2,85.7,2,2,1,1,2,0
69.6,68.8,60.4,7.75,0,79.6,0,1,1,2,2,0
76.7,59.2,63.5,7.47,0,83.4,0,1,1,1,1,0
39.2,62.8,51.0,6.77,0,59.8,0,1,0,1,1,1
71.0,54.2,65.0,7.39,0,71.9,0,1,0,1,0,1
81.4,73.1,77.2,6.99,1,62.5,0,0,1,1,1,0
100.0,62.5,75.2,8.19,1,74.0,0,1,1,2,0,0
65.7,74.3,46.9,8.54,0,70.9,0,2,0,1,0,0
60.4,58.2,58.4,6.1,2,55.2,0,1,1,0,0,1
66.0,40.8,58.0,5.34,0,51.5,0,0,0,0,0,1
91.5,46.2,85.3,4.63,1,38.0,2,0,1,0,0,1
80.9,57.4,70.8,7.91,0,67.7,0,0,1,0,0,0
65.5,59.7,62.9,5.66,3,49.8,0,1,1,1,0,1
84.2,35.7,57.7,4.19,1,44.3,0,1,1,0,0,1
76.7,61.1,87.6,7.74,2,59.5,0,0,1,0,0,1
92.4,82.6,78.1,10.0,1,84.6,0,2,1,0,0,0
62.4,67.6,65.6,7.19,2,75.9,0,1,1,1,0,1
69.1,66.5,55.0,8.37,0,80.1,1,1,1,1,0,0
67.9,56.2,65.6,7.31,1,73.0,0,2,1,0,1,1
48.7,58.3,36.0,7.06,1,61.7,0,0,1,2,0,1
80.3,62.7,75.8,8.49,1,75.1,0,2,1,0,1,0
79.7,72.3,67.2,6.79,2,66.4,0,0,1,2,2,1
75.1,59.9,67.9,7.57,1,76.5,0,1,1,1,0,1
70.8,71.7,71.5,7.65,0,52.5,1,2,1,0,0,0
49.5,54.9,37.3,6.26,1,45.9,0,2,1,1,0,1
67.4,65.1,55.4,8.59,1,82.9,0,1,1,1,0,1
68.8,59.1,67.8,6.96,2,58.7,0,1,1,1,0,1
60.6,58.5,78.4,6.14,0,49.4,1,1,1,2,1,1
72.1,66.1,64.1,7.95,3,59.8,0,2,1,0,0,1
82.3,60.1,78.5,5.94,2,48.7,0,0,1,0,1,1
100.0,69.7,83.9,7.24,2,53.1,0,2,1,0,0,0
78.1,68.4,89.1,7.19,3,77.1,0,1,1,0,0,1
79.6,70.4,53.3,8.72,2,74.6,2,1,1,0,0,1
73.7,58.2,67.5,7.86,0,67.5,0,1,1,2,1,0
40.5,56.0,27.1,7.16,0,66.4,0,1,0,0,0,1
74.5,72.5,42.1,8.34,2,78.5,2,2,1,1,0,1
76.1,82.1,71.2,9.15,1,84.8,0,1,1,1,0,0
100.0,50.5,86.4,7.98,1,76.4,0,2,1,2,0,0
71.5,61.3,62.2,7.21,2,58.3,0,0,0,2,2,1
80.4,46.9,70.2,5.36,2,45.8,0,1,1,1,0,1
74.4,46.3,98.0,5.71,0,56.1,0,2,1,2,1,1
54.0,67.9,50.2,6.77,1,55.5,1,1,0,1,0,1
95.6,57.3,87.0,6.35,0,55.7,0,1,1,2,0,0
88.5,69.5,70.5,6.94,1,63.3,0,1,1,1,0,0
89.2,60.1,80.4,7.28,3,68.7,1,2,1,0,0,1
58.6,75.0,53.7,7.94,0,56.1,0,2,1,1,2,1
100.0,73.4,80.9,7.1,2,66.8,0,0,1,1,0,0
49.8,77.5,68.0,7.88,3,66.4,0,2,1,0,1,1
85.6,53.2,86.7,7.29,3,68.3,1,1,1,0,1,1
100.0,35.7,86.4,4.43,2,45.9,1,0,1,1,0,1
57.2,47.3,32.0,5.88,3,63.3,2,2,1,2,0,1
64.8,63.4,56.8,7.0,0,70.5,1,1,1,0,1,1
76.8,52.3,95.8,5.51,4,58.5,0,2,1,1,0,1
65.9,61.6,58.8,8.04,3,79.4,0,0,1,1,0,1
47.1,80.0,59.0,9.34,0,81.8,1,0,1,2,4,0
76.2,59.5,82.8,8.91,2,76.5,0,1,1,2,0,0
55.9,70.2,56.3,6.9,0,66.3,0,0,1,1,0,1
83.5,74.8,65.0,9.29,1,84.4,0,1,1,1,0,0
58.5,63.4,31.6,7.41,0,62.1,0,0,1,0,2,1
100.0,54.7,91.8,6.73,2,61.7,2,1,1,1,1,0
60.9,63.1,49.5,6.34,0,55.5,0,0,1,1,0,1
69.2,34.9,65.2,6.78,0,53.2,0,0,1,2,0,1
89.6,56.4,65.3,6.66,1,67.3,2,1,1,1,0,1
52.8,62.4,49.3,7.44,3,64.9,0,0,1,0,0,1
79.1,59.5,70.7,7.42,1,78.7,0,1,1,1,0,1
98.5,75.0,86.7,7.2,2,51.3,0,2,1,0,0,0
46.1,59.3,36.1,7.81,0,63.6,1,1,1,0,0,1
78.3,81.5,81.8,8.87,0,76.2,1,2,1,0,1,0
79.7,75.3,64.8,8.53,1,81.2,1,0,1,0,0,0
89.1,53.6,60.6,5.12,1,48.8,0,0,1,1,1,1
52.7,25.5,50.8,3.62,4,36.2,0,2,1,0,0,1
51.2,66.5,51.2,8.51,0,65.2,1,1,1,0,1,1
84.4,53.7,75.7,5.29,1,39.2,1,1,1,2,1,1
80.3,61.9,84.9,6.89,1,62.3,0,1,1,0,0,1
79.5,34.9,68.3,5.56,0,39.9,0,1,0,0,0,1
81.2,35.4,70.7,4.68,0,38.7,2,0,1,0,0,1
62.8,70.7,47.9,7.96,1,72.2,1,1,1,0,1,1
79.2,76.9,78.6,8.26,1,64.2,1,1,1,0,2,0
80.3,48.9,73.0,6.39,1,67.4,1,1,1,0,1,1
62.1,20.0,54.3,3.57,2,42.1,0,2,1,1,1,1
100.0,58.9,66.0,6.44,4,45.5,0,1,1,0,0,1
83.5,56.1,87.9,7.75,1,60.5,0,0,1,0,0,0
53.6,27.5,40.2,5.13,0,30.0,0,2,1,2,1,1
86.8,40.7,69.9,7.46,2,59.2,0,1,1,1,0,1
57.5,67.5,58.8,7.18,3,67.8,0,1,1,2,1,1
89.2,69.1,65.5,8.01,0,66.2,0,0,1,1,0,0
95.9,60.8,67.2,7.37,1,67.2,0,0,1,0,0,0
60.2,60.7,35.9,5.84,0,41.0,0,1,1,1,1,1
92.3,80.5,86.8,8.88,1,81.6,0,1,1,0,1,0
82.4,72.2,67.2,6.98,1,56.9,0,2,0,0,0,1
89.8,49.7,100.0,7.16,1,62.4,0,2,1,1,0,0
100.0,49.8,75.1,5.89,0,51.5,0,2,0,1,1,1
70.6,43.0,55.2,6.58,3,48.7,2,1,1,1,4,1
61.4,48.8,52.3,5.96,2,44.6,0,1,1,2,0,1
59.0,57.2,58.7,6.96,3,67.4,0,1,1,0,1,1
60.3,86.6,52.5,9.6,3,84.6,0,0,1,1,3,1
73.6,45.2,72.7,5.28,1,54.6,0,0,1,1,1,1
81.1,47.0,62.0,4.94,3,46.8,0,1,1,2,1,1
80.0,84.3,57.2,9.26,1,80.1,1,2,1,1,2,0
89.9,75.9,59.9,6.91,5,48.2,1,0,1,2,1,1
75.2,50.7,45.4,6.26,0,53.2,0,0,1,0,1,1
100.0,66.0,79.8,8.66,2,74.1,0,2,0,1,0,0
70.2,56.0,61.2,6.35,2,69.5,2,0,0,0,0,1
100.0,76.5,78.7,9.76,2,87.9,1,1,0,0,1,0
86.3,81.1,87.8,8.15,1,80.9,0,1,1,2,0,0
59.6,53.1,69.0,6.52,0,61.3,0,0,1,0,2,1
55.7,80.5,50.7,10.0,2,80.0,0,2,1,2,2,0
83.7,50.2,55.6,6.35,2,56.6,0,0,1,0,0,1
71.0,75.8,59.0,8.24,1,72.6,0,1,1,1,0,0
87.9,63.5,70.5,7.62,0,59.4,0,0,1,0,1,0
83.5,71.6,66.9,9.02,3,74.5,0,0,1,0,0,1
73.7,93.1,59.6,9.39,3,78.6,0,0,1,0,1,0
59.8,54.7,50.3,7.24,1,74.2,1,0,1,1,1,1
47.7,52.5,44.5,6.15,1,39.6,1,0,1,0,0,1
67.0,71.9,55.5,7.84,3,76.2,0,1,1,1,1,1
90.4,40.1,80.4,6.25,0,48.5,1,1,0,0,0,1
78.9,88.8,73.8,10.0,0,75.4,0,1,1,0,1,0
52.6,54.4,42.7,7.39,1,72.4,1,1,0,0,1,1
78.1,63.4,82.4,6.69,4,63.6,0,2,1,1,0,1
81.9,55.7,62.6,7.46,2,73.5,0,2,1,1,1,1
59.1,50.7,40.2,5.31,1,53.1,0,1,1,2,1,1
77.8,58.5,73.2,5.84,2,66.1,0,2,1,0,1,1
76.0,82.4,60.1,8.88,3,80.0,2,1,1,1,0,1
54.4,55.4,56.3,6.28,1,54.1,0,1,1,1,0,1
81.4,46.9,48.0,5.73,1,53.3,0,1,1,0,0,1
85.1,63.0,88.5,7.95,4,77.3,0,1,1,1,1,1
94.5,87.1,87.9,8.86,1,70.4,0,1,1,1,0,0
94.0,64.2,65.8,8.21,0,66.1,0,1,1,0,0,0
50.2,64.8,35.4,8.59,0,71.6,0,2,1,0,1,1
58.1,57.5,72.4,6.14,1,39.4,1,2,1,0,0,1
84.3,37.9,66.6,5.21,0,47.6,1,1,1,1,0,1
84.2,71.5,65.6,9.3,0,66.2,2,1,1,0,0,0
84.3,45.8,51.3,6.75,0,59.4,0,0,1,0,1,1
100.0,54.4,81.5,6.85,4,65.8,0,0,1,0,0,1
85.3,76.3,72.4,9.06,1,74.1,0,1,1,0,1,0
95.4,69.8,89.0,7.98,0,80.6,0,1,1,0,0,0
92.2,74.2,65.5,7.84,0,57.5,0,0,0,2,1,0
86.7,89.2,60.5,10.0,0,93.3,2,2,1,0,1,0
69.3,52.0,68.0,6.3,0,60.1,0,1,1,1,0,1
88.7,70.7,87.1,8.5,1,61.0,2,1,1,0,1,0
61.1,66.0,42.1,7.28,0,82.2,1,0,1,1,0,1
70.7,74.6,75.3,7.58,0,65.2,2,0,1,1,0,0
66.3,80.4,61.8,9.34,1,73.6,1,2,1,0,1,0
76.5,63.5,79.4,7.91,1,58.4,0,1,1,1,1,0
100.0,59.7,84.3,7.95,0,67.1,0,2,1,1,0,0
41.4,62.4,20.0,8.7,0,73.7,0,2,1,1,0,1
87.4,62.2,74.6,6.69,1,59.2,0,1,1,1,0,1
46.0,55.8,57.8,6.03,2,51.1,0,0,1,2,1,1
66.5,53.4,52.6,5.74,1,55.3,0,2,1,1,0,1
94.6,36.8,77.3,4.45,0,37.9,0,2,1,2,0,1
76.2,96.3,66.5,10.0,1,71.5,2,1,1,1,1,0
55.6,44.2,24.9,5.66,1,49.2,2,1,1,1,1,1
62.1,66.2,75.2,6.89,1,43.5,0,1,1,1,0,1
87.2,57.6,67.0,6.81,1,62.0,0,1,1,2,1,1
61.9,60.0,63.4,7.63,1,59.2,0,1,1,2,0,1
78.9,75.6,69.4,8.34,2,72.9,0,2,1,0,2,0
75.8,74.7,80.7,8.4,2,81.4,1,1,1,1,0,0
63.3,57.1,63.4,6.38,4,49.4,0,0,1,0,0,1
100.0,59.9,82.7,6.97,0,68.2,0,1,1,1,0,0
86.4,64.3,66.6,7.6,2,62.7,1,0,1,0,1,1
38.5,77.3,50.0,6.85,2,72.1,1,0,1,0,1,1
78.4,89.8,51.1,9.45,2,78.0,0,2,0,2,2,0
63.1,72.8,65.6,7.89,2,62.2,0,0,1,0,0,1
90.3,70.8,67.3,8.23,0,75.6,0,0,1,1,1,0
60.7,77.1,70.0,8.13,1,67.0,0,1,1,1,1,1
72.9,79.3,67.7,8.84,2,69.9,0,1,1,0,0,0
84.1,63.6,80.3,7.45,1,61.3,0,1,1,0,1,0
90.6,43.3,79.2,5.38,1,47.8,0,0,1,1,1,1
53.4,65.3,34.9,7.76,1,76.5,0,0,1,0,1,1
69.0,28.1,54.7,6.29,1,41.8,0,0,1,1,0,1
66.5,56.6,68.2,6.46,0,56.8,1,1,1,2,0,1
63.2,64.3,60.9,8.02,0,73.5,0,0,1,0,1,1
100.0,88.7,96.8,8.93,0,77.8,0,2,0,0,1,0
82.3,61.6,76.6,7.23,1,72.0,1,1,0,1,1,1
52.3,55.4,41.9,7.63,3,65.5,0,0,1,1,0,1
91.5,81.1,71.1,9.58,1,80.4,2,1,1,0,0,0
100.0,55.7,86.0,7.54,1,69.4,0,1,1,0,0,0
93.6,88.8,57.4,10.0,3,85.7,0,1,1,1,0,0
47.7,70.3,65.1,7.99,1,66.2,0,0,1,2,0,1
66.3,47.9,65.8,4.73,0,46.5,0,1,1,0,1,1
97.8,63.8,95.7,8.25,1,66.5,0,1,1,1,2,0
62.3,66.0,42.8,7.73,0,62.6,0,2,1,2,1,1
83.0,65.6,85.5,9.01,0,73.3,0,0,1,1,1,0
88.9,74.8,99.6,8.14,4,79.6,0,1,0,1,1,1
58.3,63.7,42.6,7.01,1,38.5,0,1,1,1,0,1
73.9,50.6,74.5,5.49,0,51.7,0,2,1,2,1,1
25.0,58.7,32.5,6.91,2,60.5,0,2,1,1,0,1
56.6,54.4,39.1,6.01,0,41.3,0,0,0,2,1,1
70.5,67.1,69.2,6.39,0,58.3,0,0,1,1,1,1
52.5,65.9,60.1,8.02,0,72.5,0,1,1,1,1,1
100.0,82.2,79.0,9.54,2,85.4,0,0,0,0,0,0
49.3,57.2,61.1,7.75,1,48.5,0,1,1,0,0,1
67.1,40.0,45.3,5.53,1,58.8,1,0,1,1,0,1
77.4,67.3,54.2,7.82,3,62.4,0,1,1,0,0,1
100.0,84.3,86.4,8.88,1,80.8,0,2,1,1,0,0
49.2,51.9,49.7,6.35,0,61.0,0,2,1,0,0,1
95.9,57.7,75.0,7.01,0,55.0,0,1,1,1,0,0
75.2,58.1,75.7,7.22,1,67.4,0,1,1,0,0,1
57.3,47.6,60.4,6.1,2,51.1,0,2,1,1,0,1
83.3,71.3,81.9,8.11,1,55.4,0,0,1,1,0,0
78.6,47.8,68.8,7.03,0,69.4,0,1,1,0,1,1
64.2,76.4,66.0,7.79,1,61.9,0,1,0,1,0,1
76.3,45.3,63.9,5.96,1,46.7,0,0,1,0,0,1
68.1,61.8,83.2,6.59,0,54.9,0,1,1,0,1,1
77.0,59.6,60.8,8.21,1,72.6,0,0,1,0,1,1
86.9,62.1,96.9,6.68,0,58.0,0,1,1,0,0,0
100.0,87.1,85.3,9.62,1,85.8,0,0,0,2,1,0
52.7,59.5,38.1,6.64,1,48.7,0,1,1,0,0,1
100.0,55.9,98.7,7.51,0,59.9,0,0,1,1,1,0
39.9,74.3,44.2,8.51,2,72.2,0,2,1,0,1,1
72.3,34.9,74.1,5.21,1,60.0,1,1,1,1,2,1
85.6,38.2,87.2,4.73,1,42.1,0,1,1,0,1,1
80.1,51.3,74.4,5.06,3,53.1,0,1,1,1,0,1
63.8,82.6,53.7,8.97,0,77.0,1,1,1,1,0,0
71.3,54.8,74.6,6.43,0,53.0,0,0,1,1,0,1
66.1,77.2,61.3,10.0,3,83.3,0,1,1,0,1,1
64.4,59.7,66.9,6.41,1,55.1,1,0,1,1,1,1
90.3,63.6,56.7,7.46,3,68.9,0,0,1,0,0,1
81.4,61.0,76.5,9.36,2,89.5,0,1,1,0,0,0
62.5,91.3,52.4,10.0,4,87.5,1,0,1,1,1,1
91.2,84.8,95.4,10.0,0,93.3,2,1,1,1,1,0
80.5,85.2,77.6,8.89,1,69.4,0,1,1,1,1,0
89.6,64.6,80.1,8.63,4,71.2,0,1,1,1,0,1
86.3,42.8,80.3,8.03,1,64.2,0,1,1,0,1,0
60.1,72.7,47.1,8.29,1,73.5,0,1,1,0,0,1
64.9,57.0,76.7,6.43,1,53.9,0,1,0,0,0,1
88.5,37.9,96.8,6.05,1,58.5,0,1,1,1,0,1
86.0,53.3,79.1,7.2,2,56.0,0,0,1,1,0,1
74.6,81.2,83.1,6.96,0,61.0,0,1,1,0,1,0
77.1,53.4,63.3,6.57,0,62.3,0,1,1,1,0,1
98.0,75.3,75.6,8.17,1,55.9,0,1,0,1,0,0
64.4,67.4,60.5,8.54,2,88.2,1,2,1,1,2,1
84.8,45.5,78.7,7.32,0,61.6,2,2,1,1,0,0
71.4,77.4,61.0,9.27,2,65.0,0,0,1,1,2,0
71.1,45.5,70.1,5.6,4,50.9,2,0,1,1,1,1
94.8,55.7,84.4,6.93,0,60.7,1,0,1,0,0,0
89.9,51.8,67.9,6.2,0,54.0,0,0,1,0,0,1
89.6,41.1,82.9,4.59,0,48.6,0,0,0,0,0,1
98.5,59.0,92.6,7.08,1,66.9,0,1,1,1,2,0
75.4,49.6,69.5,7.03,3,63.3,0,2,1,2,0,1
87.3,83.1,87.6,9.32,1,82.7,0,1,1,1,0,0
69.4,53.1,51.4,8.08,0,68.9,0,0,1,0,0,1
80.8,32.6,76.3,5.77,0,63.6,0,1,1,1,0,1
72.7,89.2,54.2,9.8,0,73.0,0,1,1,1,0,0
76.7,79.8,57.6,8.91,1,77.3,0,2,1,2,1,0
85.7,67.7,68.7,8.01,1,69.6,1,2,1,1,1,0
60.3,47.3,47.8,6.88,2,65.8,0,2,1,2,1,1
100.0,44.1,79.5,5.86,1,45.9,2,1,1,0,0,1
56.9,54.7,52.7,6.68,1,46.2,0,1,0,0,1,1
53.1,61.4,60.6,8.72,0,75.9,2,0,0,0,0,1
95.8,77.7,78.9,9.84,0,85.7,0,1,1,1,0,0
89.2,84.8,61.6,9.36,2,90.3,0,0,1,0,0,0
86.2,66.8,86.8,6.52,4,48.2,0,1,0,1,1,1
86.3,44.5,67.0,5.63,2,58.1,0,1,1,1,0,1
74.8,68.9,66.8,7.4,1,80.7,1,0,1,0,0,1
58.8,24.8,60.7,4.72,2,40.1,0,0,1,2,1,1
76.4,70.3,70.5,7.65,1,57.2,2,0,1,0,1,1
62.8,53.0,69.9,6.99,0,58.1,0,0,1,0,0,1
92.6,58.1,84.6,6.55,1,57.5,0,0,1,1,0,1
72.4,40.2,57.0,4.97,0,48.7,1,0,1,0,0,1
60.1,77.9,78.9,7.92,2,64.2,0,0,1,1,0,1
69.2,47.9,65.4,6.45,2,67.5,0,0,1,1,1,1
82.4,52.3,71.2,5.56,0,41.7,2,2,1,2,1,1
64.9,24.8,70.0,3.18,1,25.0,2,1,1,2,0,1
60.2,59.6,59.6,7.16,3,70.0,2,0,0,0,0,1
79.4,80.8,74.6,9.68,2,66.5,2,1,0,1,1,0
79.4,74.2,95.5,9.53,0,79.8,0,2,1,0,0,0
65.9,55.6,58.4,6.56,0,79.3,1,1,1,0,0,1
66.5,53.5,58.4,6.36,2,55.8,0,0,1,0,0,1
79.2,68.7,71.6,7.86,1,60.0,2,1,1,0,0,0
48.9,50.0,60.0,5.8,1,51.0,0,1,0,2,4,1
49.7,71.2,34.7,7.62,3,65.6,0,1,1,0,0,1
62.1,77.7,38.8,8.27,1,72.3,0,1,1,1,0,1
71.2,67.4,58.9,8.92,1,81.0,0,2,1,1,1,0
80.6,67.0,55.1,7.06,0,54.2,0,2,1,1,0,0
100.0,49.3,80.8,6.91,1,72.1,1,1,0,2,0,1
90.4,55.5,83.3,5.97,1,54.5,1,1,1,0,0,1
72.1,56.3,56.6,6.04,2,58.4,0,1,0,1,0,1
74.7,43.2,53.0,6.88,1,55.7,1,2,1,1,0,1
57.0,66.3,55.6,7.71,1,75.7,0,0,1,0,0,1
74.7,68.3,75.9,8.48,0,71.0,0,2,0,1,1,0
69.8,45.6,46.9,6.08,3,55.5,0,0,0,1,1,1
80.8,89.8,79.8,9.29,1,72.8,1,1,1,0,0,0
60.1,52.7,65.2,6.82,0,52.6,0,2,1,0,0,1
84.3,54.5,83.6,7.17,3,67.2,0,0,1,0,0,1
100.0,52.9,97.2,6.15,0,51.1,0,1,1,1,1,0
73.0,37.8,88.1,3.81,1,29.5,0,0,1,1,2,1
82.2,70.6,69.0,8.44,3,68.0,0,1,0,1,0,1
87.4,79.3,77.3,8.23,1,75.7,0,0,1,1,0,0
67.8,62.1,58.3,6.81,2,55.0,0,1,0,2,0,1
79.0,44.6,70.3,7.29,1,62.5,0,1,1,1,0,1
75.2,63.1,83.0,7.92,0,68.5,2,2,1,1,0,0
76.8,38.1,55.3,5.01,0,31.7,0,2,0,1,0,1
61.1,58.7,49.1,6.46,1,46.4,0,0,1,1,0,1
75.4,49.7,81.6,8.31,2,73.8,0,1,1,1,0,1
84.0,66.7,84.0,5.44,1,43.4,1,0,1,2,1,1
100.0,68.9,81.4,7.61,0,73.3,0,0,1,2,1,0
92.3,46.2,88.1,5.3,1,54.2,1,0,1,0,0,1
100.0,76.2,88.4,7.85,1,72.9,0,2,1,0,0,0
61.2,79.5,72.8,7.15,2,74.9,1,2,1,2,0,1
90.7,48.9,79.2,4.94,3,43.9,0,0,1,0,2,1
78.3,82.7,80.1,8.83,5,80.2,0,0,1,2,0,1
100.0,53.5,100.0,6.17,2,50.3,0,0,1,0,1,1
60.5,50.4,63.3,6.07,2,70.7,0,1,1,0,1,1
59.9,59.8,57.4,7.48,0,78.7,2,1,1,0,0,1
64.2,68.3,67.2,8.81,3,75.5,1,0,1,0,1,1
36.8,43.6,37.1,5.78,2,53.9,0,1,1,0,1,1
65.5,51.1,84.8,7.29,2,72.8,0,1,1,1,0,1
61.3,65.7,59.7,7.8,1,66.4,0,2,1,1,1,1
77.7,56.0,66.7,8.17,1,65.8,0,1,1,2,0,0
81.2,64.8,63.4,7.45,0,70.7,0,1,1,1,1,0
100.0,56.5,96.0,6.69,0,59.0,2,1,1,1,0,0
92.1,52.5,88.1,6.04,3,54.6,2,2,1,1,2,1
64.6,58.0,55.3,7.32,1,57.7,0,0,0,1,0,1
58.8,73.1,61.9,5.7,3,38.6,1,1,0,1,2,1
83.9,37.3,58.6,3.11,0,31.5,0,2,1,0,0,1
51.2,56.4,52.7,7.81,1,73.8,0,0,1,0,0,1
100.0,73.8,89.5,8.47,2,71.1,0,0,1,0,1,0
96.2,28.2,99.4,3.89,0,46.2,0,1,1,0,1,1
66.6,41.1,53.9,5.79,1,46.4,0,2,1,1,0,1
44.2,57.8,33.1,8.07,1,62.2,0,1,1,0,0,1
99.4,88.5,75.6,10.0,1,84.5,0,2,0,2,2,0
72.9,56.0,52.7,7.23,1,62.3,0,1,0,2,0,1
97.3,60.3,96.5,6.18,0,59.8,2,0,1,2,0,0
46.3,67.0,62.9,6.94,2,55.1,0,1,1,2,0,1
64.2,88.6,63.2,9.12,0,87.6,1,1,1,0,2,0
75.1,46.7,79.8,6.3,1,69.1,1,0,1,1,0,1
75.8,55.5,69.4,6.08,0,53.4,0,0,1,0,1,1
66.9,60.5,60.9,6.52,2,65.9,0,0,1,1,0,1
86.2,46.1,72.0,5.87,0,44.5,1,1,1,2,3,1
